worker_id,timestamp,ambient_temp_c,uv_index,gas_ppm,noise_db,body_temp_c,heart_rate_bpm,baseline_hr_bpm,baseline_body_temp_c,hr_deviation_pct,body_temp_deviation_pct,risk_level
W054,01/06/2025 08:20,25.21,1.68,232.25,78.06,36.99,81.6,75.3,37.27,8.37,-0.75,Warning
W013,01/06/2025 08:20,25.48,2.62,133.41,78.24,35.94,81.3,76.4,37.36,6.41,-3.8,Safe
W036,01/06/2025 08:21,20.84,0.86,38.6,81.56,36.58,80,84.3,35.6,-5.1,2.75,Warning
W026,01/06/2025 08:21,24.67,3.44,62.03,62.54,37.09,84.6,89.2,37.33,-5.16,-0.64,Warning
W028,01/06/2025 08:22,25.34,2.03,63.23,65.11,37.6,111.9,79.9,37.77,40.05,-0.45,Critical
W050,01/06/2025 08:22,21.57,1,129.39,94.2,35.7,69.1,65.6,35.32,5.34,1.08,Critical
W078,01/06/2025 08:23,22.52,0.77,62.7,52.22,34.46,89.5,89.6,35.73,-0.11,-3.55,Safe
W088,01/06/2025 08:23,18.79,0.76,70.74,60.98,34.74,72.4,81.1,35.52,-10.73,-2.2,Safe
W058,01/06/2025 08:24,20.33,0.2,29.32,59.75,37.27,85.4,80.8,37.61,5.69,-0.9,Safe
W010,01/06/2025 08:24,20.91,0.37,50.02,56.77,36.83,86.1,75.8,35.87,13.59,2.68,Safe
W013,01/06/2025 08:25,32.06,1.09,111.14,57.51,37.23,70.8,76.4,37.36,-7.33,-0.35,Warning
W056,01/06/2025 08:25,22.94,2.84,119.87,73.49,34.08,69.3,72.2,35.48,-4.02,-3.95,Safe
W034,01/06/2025 08:26,26.5,1.43,46.3,78.65,36.67,53.4,68.5,37.41,-22.04,-1.98,Warning
W004,01/06/2025 08:26,39.48,2.78,215.37,60.34,38.04,90.5,66.5,37.6,36.09,1.17,Critical
W042,01/06/2025 08:27,22.18,2.01,240.35,59.37,34.32,80.1,73.3,35.19,9.28,-2.47,Warning
W086,01/06/2025 08:27,34.1,1.89,93.08,65.66,35.72,88.1,81.9,35.05,7.57,1.91,Warning
W004,01/06/2025 08:28,23.18,1.56,89.95,72.76,36.79,84.1,66.5,37.6,26.47,-2.15,Warning
W057,01/06/2025 08:28,28.96,0.9,135.73,61.6,38.41,109.8,88.2,37.42,24.49,2.65,Warning
W068,01/06/2025 08:29,29,0.52,134.79,64.61,35.3,109.3,88.6,35.97,23.36,-1.86,Warning
W053,01/06/2025 08:29,25.51,2.4,290.29,76.78,34.86,81.5,87.7,35.75,-7.07,-2.49,Warning
W051,01/06/2025 08:30,20.42,1.24,306.66,63.43,37.33,68.9,65.8,36.91,4.71,1.14,Critical
W021,01/06/2025 08:30,38.66,1.95,258.1,56.48,36.63,87.8,68.1,36.49,28.93,0.38,Critical
W014,01/06/2025 08:31,28.78,1,126.86,65.19,37.63,83.2,70,36.54,18.86,2.98,Warning
W027,01/06/2025 08:31,19.09,1.97,101.12,57.28,37.34,81.6,88.5,37.68,-7.8,-0.9,Safe
W011,01/06/2025 08:32,35.35,0.86,355.41,69.58,35.35,109.2,80.3,35.42,35.99,-0.2,Critical
W090,01/06/2025 08:32,20.8,4.29,116,77.85,35.2,79.9,88.4,35.41,-9.62,-0.59,Warning
W050,01/06/2025 08:33,22.99,2.72,97.6,60.26,36.01,44.8,65.6,35.32,-31.71,1.95,Critical
W081,01/06/2025 08:33,24,2.14,45.45,71.45,39.95,69,74.2,36.9,-7.01,8.27,Critical
W047,01/06/2025 08:34,33.14,1.17,80.15,77.83,37.07,82.8,84,36.68,-1.43,1.06,Warning
W030,01/06/2025 08:34,21.39,2.28,591.41,62.69,35.1,67.8,66.1,35.98,2.57,-2.45,Critical
W015,01/06/2025 08:35,26.41,1.28,46.74,78.31,34.16,122.8,79.8,35.14,53.88,-2.79,Critical
W027,01/06/2025 08:35,25.12,2.23,125.88,64.94,38.67,86.3,88.5,37.68,-2.49,2.63,Safe
W018,01/06/2025 08:36,24.41,1.26,88.28,70.14,32.79,88.4,89.1,37.43,-0.79,-12.4,Critical
W019,01/06/2025 08:36,20.35,1.83,94.52,74.25,37,66.3,72.6,35.29,-8.68,4.85,Warning
W076,01/06/2025 08:37,22.01,1.22,77.43,73.13,37.68,80.1,87.7,35.72,-8.67,5.49,Warning
W074,01/06/2025 08:37,23.04,1.24,59.96,68.47,33.51,78.6,80.2,36.51,-2,-8.22,Critical
W053,01/06/2025 08:38,25.74,2.75,33.65,74.93,35.74,72,87.7,35.75,-17.9,-0.03,Warning
W064,01/06/2025 08:38,24.45,1.11,136.3,71.02,42.71,92.7,85.5,37.58,8.42,13.65,Critical
W032,01/06/2025 08:39,23.08,0.46,34.88,54.65,36.01,85.1,85.7,36.07,-0.7,-0.17,Safe
W075,01/06/2025 08:39,23.49,1.4,57.58,79.09,34.69,73.2,66.3,35.84,10.41,-3.21,Safe
W013,01/06/2025 08:40,24.21,2.28,52.68,67.07,36.85,101.3,76.4,37.36,32.59,-1.37,Critical
W037,01/06/2025 08:40,22.27,11.85,38.6,72.98,38.16,69.8,65.1,37.45,7.22,1.9,Critical
W036,01/06/2025 08:41,20.75,2.39,36.05,55.47,36.85,73.6,84.3,35.6,-12.69,3.51,Safe
W018,01/06/2025 08:41,25.96,1.13,133.95,84.33,37.42,96.6,89.1,37.43,8.42,-0.03,Warning
W028,01/06/2025 08:42,29.62,1.46,64.54,72.26,36.8,92.9,79.9,37.77,16.27,-2.57,Warning
W009,01/06/2025 08:42,21.68,2.43,122.97,89.75,36.57,76.9,72.6,36.57,5.92,0,Critical
W052,01/06/2025 08:43,23.02,12.81,139.57,67.75,36.69,67.9,72.9,36.53,-6.86,0.44,Critical
W056,01/06/2025 08:43,25.66,2.47,59.86,74.57,36.73,80.1,72.2,35.48,10.94,3.52,Safe
W070,01/06/2025 08:44,22.3,1.45,219.39,63.02,38.06,75.9,74.1,37.92,2.43,0.37,Warning
W062,01/06/2025 08:44,29.84,0.9,101.65,57.75,34.4,71.5,73,35.33,-2.05,-2.63,Warning
W057,01/06/2025 08:45,24,1.33,102.66,59.6,33.39,95,88.2,37.42,7.71,-10.77,Critical
W030,01/06/2025 08:45,24.66,1.3,80.25,74.18,35.45,100.3,66.1,35.98,51.74,-1.47,Critical
W042,01/06/2025 08:46,18.35,1.91,42.47,75.35,36.1,76.6,73.3,35.19,4.5,2.59,Safe
W040,01/06/2025 08:46,20.56,1.18,86.97,67.03,34.22,64.5,74,35.35,-12.84,-3.2,Safe
W040,01/06/2025 08:47,18.89,0.76,115.75,57.35,36.1,75.5,74,35.35,2.03,2.12,Safe
W063,01/06/2025 08:47,42.24,1.24,111.4,75.4,35.29,75.9,70.7,36.28,7.36,-2.73,Critical
W036,01/06/2025 08:48,25.36,1.67,306.01,67.97,35.12,87.1,84.3,35.6,3.32,-1.35,Critical
W059,01/06/2025 08:48,34.16,1.3,140.36,75.83,36.37,92.6,85.1,35.56,8.81,2.28,Warning
W067,01/06/2025 08:49,20.98,7.32,41.36,66.71,36.15,70.4,68,36.01,3.53,0.39,Warning
W068,01/06/2025 08:49,23.73,1.51,139.75,66.11,35.85,71.5,88.6,35.97,-19.3,-0.33,Warning
W028,01/06/2025 08:50,18.45,2.89,105.42,62.79,39.08,74,79.9,37.77,-7.38,3.47,Safe
W037,01/06/2025 08:50,20.44,0.75,79.66,59.41,37.74,56.3,65.1,37.45,-13.52,0.77,Safe
W009,01/06/2025 08:51,29.53,1.55,67.92,60.82,35.49,75.6,72.6,36.57,4.13,-2.95,Warning
W051,01/06/2025 08:51,24.05,0.44,41.79,66.76,37.71,59.4,65.8,36.91,-9.73,2.17,Safe
W041,01/06/2025 08:52,20.37,1.09,43.16,71.83,38.1,87.4,86.6,36.87,0.92,3.34,Safe
W007,01/06/2025 08:52,20.32,1.86,161.55,57.16,34.59,91.8,85.8,35.64,6.99,-2.95,Warning
W029,01/06/2025 08:53,26.5,1.17,93.18,103.94,35.48,67.5,67.2,35.59,0.45,-0.31,Critical
W088,01/06/2025 08:53,20.49,0.85,109.95,54.19,36.38,77,81.1,35.52,-5.06,2.42,Safe
W047,01/06/2025 08:54,40.01,2.78,383.21,61.1,37.04,114.2,84,36.68,35.95,0.98,Critical
W052,01/06/2025 08:54,22.01,2.68,77.73,78.07,38.45,75.1,72.9,36.53,3.02,5.26,Warning
W019,01/06/2025 08:55,44.24,1.56,82.37,68.36,35.41,78.3,72.6,35.29,7.85,0.34,Critical
W040,01/06/2025 08:55,22.54,0.85,87.35,60.63,35.88,74.6,74,35.35,0.81,1.5,Safe
W072,01/06/2025 08:56,20,1.91,107.28,73.28,37.31,77,77.4,35.9,-0.52,3.93,Safe
W017,01/06/2025 08:56,20.69,2.39,112.03,80.8,36.75,62.3,66.6,37.85,-6.46,-2.91,Warning
W018,01/06/2025 08:57,20.69,0.95,118.54,93.47,38.2,94.8,89.1,37.43,6.4,2.06,Critical
W023,01/06/2025 08:57,34.15,1.58,232.98,72.24,36.83,93,71.5,36.99,30.07,-0.43,Critical
W079,01/06/2025 08:58,25.93,2.87,57.69,60.67,38.25,75.4,81.8,37.28,-7.82,2.6,Safe
W038,01/06/2025 08:58,26.01,12.17,93.71,76.53,37.46,85.9,82.7,37.19,3.87,0.73,Critical
W024,01/06/2025 08:59,25.44,1.71,138.92,68.91,37.04,81.6,72.8,36.56,12.09,1.31,Safe
W079,01/06/2025 08:59,31.61,2.47,54.55,57.03,37.5,77.4,81.8,37.28,-5.38,0.59,Warning
W009,01/06/2025 09:00,21.35,2.26,36.07,101.11,36.88,67.3,72.6,36.57,-7.3,0.85,Critical
W060,01/06/2025 09:00,25.04,2.09,48.04,76.53,36.96,77.7,87.3,36.62,-11,0.93,Safe
W068,01/06/2025 09:01,23.78,2.71,110.59,74.09,33.24,80.8,88.6,35.97,-8.8,-7.59,Warning
W018,01/06/2025 09:01,38.59,2.78,384.34,63.36,36.57,120.9,89.1,37.43,35.69,-2.3,Critical
W002,01/06/2025 09:02,26.03,0.68,267.56,74.93,36.48,87,83.3,36.8,4.44,-0.87,Warning
W064,01/06/2025 09:02,24.65,1.77,458.97,58.78,38.56,83.2,85.5,37.58,-2.69,2.61,Critical
W004,01/06/2025 09:03,25.14,1.67,67.66,78.64,38.44,58.3,66.5,37.6,-12.33,2.23,Safe
W023,01/06/2025 09:03,23.43,1.25,85.46,59.52,37.17,57.4,71.5,36.99,-19.72,0.49,Warning
W061,01/06/2025 09:04,42.59,2.32,87.68,78.25,38.1,79.5,85.2,37.69,-6.69,1.09,Critical
W008,01/06/2025 09:04,27.13,2.41,94.45,66.34,35.93,72.5,69.5,35.55,4.32,1.07,Warning
W025,01/06/2025 09:05,42.51,2.24,92.73,65.56,35.21,83,78.7,35.55,5.46,-0.96,Critical
W084,01/06/2025 09:05,21.94,1.09,144.48,59.96,34.2,78.6,73,35.56,7.67,-3.82,Safe
W086,01/06/2025 09:06,26.52,2.25,29.85,54.46,35.4,77.5,81.9,35.05,-5.37,1,Safe
W009,01/06/2025 09:06,23.49,0.8,47.33,63.33,36.62,63.5,72.6,36.57,-12.53,0.14,Safe
W021,01/06/2025 09:07,21.09,1.57,38.49,78.3,35.25,58.6,68.1,36.49,-13.95,-3.4,Safe
W079,01/06/2025 09:07,24.6,1.84,483.53,66.88,37,78.7,81.8,37.28,-3.79,-0.75,Critical
W048,01/06/2025 09:08,25.01,4,87.63,61.46,35.43,92.1,84.3,36.48,9.25,-2.88,Warning
W011,01/06/2025 09:08,24.15,0.99,103.9,84.14,35.06,86.4,80.3,35.42,7.6,-1.02,Warning
W018,01/06/2025 09:09,21.37,0.73,31.9,77.26,37.31,100.1,89.1,37.43,12.35,-0.32,Safe
W070,01/06/2025 09:09,26.83,1.56,20.91,72.65,38.64,74,74.1,37.92,-0.13,1.9,Safe
W018,01/06/2025 09:10,21.03,1.46,41.92,65.06,35.05,88.1,89.1,37.43,-1.12,-6.36,Warning
W029,01/06/2025 09:10,22.67,2.58,186.7,72.99,34.71,68.2,67.2,35.59,1.49,-2.47,Warning
W008,01/06/2025 09:11,26.1,1.34,41.41,76.67,35.13,63.8,69.5,35.55,-8.2,-1.18,Safe
W045,01/06/2025 09:11,24.84,1.88,99.27,93.35,37.28,91.2,87.2,36.42,4.59,2.36,Critical
W056,01/06/2025 09:12,23.22,2.16,33.7,76,39.39,72.9,72.2,35.48,0.97,11.02,Critical
W079,01/06/2025 09:12,25.37,1.22,204.99,56.2,37.93,88.6,81.8,37.28,8.31,1.74,Warning
W076,01/06/2025 09:13,29.21,2.42,78.88,70.96,36.6,81.1,87.7,35.72,-7.53,2.46,Warning
W018,01/06/2025 09:13,25.3,3.96,101.85,70.84,36.35,85.9,89.1,37.43,-3.59,-2.89,Warning
W084,01/06/2025 09:14,20.98,2.53,199.12,59.52,35.78,73.2,73,35.56,0.27,0.62,Warning
W083,01/06/2025 09:14,31.49,2.11,43.47,70.26,37.62,83.3,67.3,37.51,23.77,0.29,Warning
W008,01/06/2025 09:15,20.53,11.27,32.48,78.68,35.78,71.9,69.5,35.55,3.45,0.65,Critical
W067,01/06/2025 09:15,21.47,10.05,38.58,57.3,36.17,62.4,68,36.01,-8.24,0.44,Critical
W085,01/06/2025 09:16,20.61,0.92,73.08,56.2,37.35,60.5,66,36.77,-8.33,1.58,Safe
W039,01/06/2025 09:16,28.11,0.71,125.83,77.64,36.09,87.3,84.3,35.22,3.56,2.47,Warning
W005,01/06/2025 09:17,21.64,9.31,96.2,62.46,36.86,72.5,80,37.12,-9.38,-0.7,Critical
W050,01/06/2025 09:17,23.4,2.86,74.91,65.48,36.13,63.2,65.6,35.32,-3.66,2.29,Safe
W076,01/06/2025 09:18,35.28,1.46,142.02,62.53,36.02,95.3,87.7,35.72,8.67,0.84,Critical
W049,01/06/2025 09:18,24.66,0.97,40.48,61.61,36.99,78.6,78.1,36.28,0.64,1.96,Safe
W068,01/06/2025 09:19,20.43,2.72,28.55,55.82,36.98,92.2,88.6,35.97,4.06,2.81,Safe
W075,01/06/2025 09:19,38,0.96,396.86,78.46,35.97,89.9,66.3,35.84,35.6,0.36,Critical
W087,01/06/2025 09:20,18.53,1.82,88.03,56.14,34.96,83.9,77.8,35.68,7.84,-2.02,Safe
W063,01/06/2025 09:20,21.5,2.76,93.88,72.77,36.06,65.2,70.7,36.28,-7.78,-0.61,Safe
W045,01/06/2025 09:21,25.33,1.06,40.93,70.89,38.24,78.9,87.2,36.42,-9.52,5,Warning
W056,01/06/2025 09:21,26.41,2.46,174.08,61.47,36.33,78.2,72.2,35.48,8.31,2.4,Warning
W061,01/06/2025 09:22,21.93,1.75,144.84,55.12,34.39,89.6,85.2,37.69,5.16,-8.76,Critical
W067,01/06/2025 09:22,20.71,0.59,83.67,63.35,32.57,68.9,68,36.01,1.32,-9.55,Critical
W006,01/06/2025 09:23,36.06,1.42,136.97,70.26,38.34,61.6,65.5,37.91,-5.95,1.13,Critical
W062,01/06/2025 09:23,19.7,1.48,130.76,71.18,33.96,78,73,35.33,6.85,-3.88,Safe
W051,01/06/2025 09:24,24.09,2.39,144.56,65.71,37.85,56.7,65.8,36.91,-13.83,2.55,Safe
W063,01/06/2025 09:24,20.98,1.89,59.51,70.74,35.13,80.5,70.7,36.28,13.86,-3.17,Safe
W006,01/06/2025 09:25,19.4,2.59,69.19,53.56,38.79,69.8,65.5,37.91,6.56,2.32,Safe
W053,01/06/2025 09:25,27.82,2.44,93.67,77.79,36.31,101.5,87.7,35.75,15.74,1.57,Warning
W002,01/06/2025 09:26,26.18,1.52,87.16,58.87,40.52,81.5,83.3,36.8,-2.16,10.11,Critical
W040,01/06/2025 09:26,20.08,2.14,112.27,69.47,34.6,100.8,74,35.35,36.22,-2.12,Critical
W013,01/06/2025 09:27,26.3,2.42,63.38,66.49,36.32,84.1,76.4,37.36,10.08,-2.78,Safe
W067,01/06/2025 09:27,21.46,3.48,143.76,62.54,36.67,63.9,68,36.01,-6.03,1.83,Warning
W072,01/06/2025 09:28,21.15,0.71,23.32,79.21,35.18,82.2,77.4,35.9,6.2,-2.01,Safe
W010,01/06/2025 09:28,25.22,0.9,109.4,55.6,35.83,70.7,75.8,35.87,-6.73,-0.11,Safe
W081,01/06/2025 09:29,31.86,1.44,115.28,58.37,37.07,68.3,74.2,36.9,-7.95,0.46,Warning
W011,01/06/2025 09:29,37.15,2,291.42,64.14,34.85,112.2,80.3,35.42,39.73,-1.61,Critical
W028,01/06/2025 09:30,35.58,1.31,39.32,63.51,38.2,79.1,79.9,37.77,-1,1.14,Critical
W007,01/06/2025 09:30,24.68,2.77,44.99,50.28,34.84,86.8,85.8,35.64,1.17,-2.24,Safe
W082,01/06/2025 09:31,22.03,1.18,61.06,55.02,34.42,76.2,80.8,36.61,-5.69,-5.98,Warning
W089,01/06/2025 09:31,38.44,1.26,330.06,57.29,36.96,110.8,82.3,36.16,34.63,2.21,Critical
W021,01/06/2025 09:32,22.68,1.6,130.82,71.33,34.43,72.1,68.1,36.49,5.87,-5.65,Warning
W090,01/06/2025 09:32,23.48,0.65,83.1,61.23,39.8,81.4,88.4,35.41,-7.92,12.4,Critical
W014,01/06/2025 09:33,18.9,2.59,105.44,54.46,37.35,72.2,70,36.54,3.14,2.22,Safe
W055,01/06/2025 09:33,20.39,2.12,513.24,64.2,35.42,77.7,70.7,35.23,9.9,0.54,Critical
W024,01/06/2025 09:34,25,2.23,539.35,70.77,37.01,72.2,72.8,36.56,-0.82,1.23,Critical
W075,01/06/2025 09:34,22.97,2.73,68.56,102.99,34.77,66.1,66.3,35.84,-0.3,-2.99,Critical
W089,01/06/2025 09:35,20.55,0.75,55.86,74.53,37.09,85.9,82.3,36.16,4.37,2.57,Safe
W005,01/06/2025 09:35,25.08,0.7,65.28,56.92,40.07,72.6,80,37.12,-9.25,7.95,Warning
W046,01/06/2025 09:36,21.73,2.36,140.42,69.38,37.38,70.4,68,37.14,3.53,0.65,Safe
W034,01/06/2025 09:36,25.11,2.57,53.1,61.4,37.12,81.1,68.5,37.41,18.39,-0.78,Warning
W034,01/06/2025 09:37,20.94,0.95,60.11,98.59,36.63,67.8,68.5,37.41,-1.02,-2.09,Critical
W067,01/06/2025 09:37,22.35,2.3,109.57,60.76,37.02,78.9,68,36.01,16.03,2.8,Warning
W059,01/06/2025 09:38,24.42,2.21,89.74,76.38,35.38,89.2,85.1,35.56,4.82,-0.51,Safe
W049,01/06/2025 09:38,22.68,2.6,58.58,102.85,35.44,79.8,78.1,36.28,2.18,-2.32,Critical
W075,01/06/2025 09:39,18.42,2.19,26.6,61.17,36.24,72.7,66.3,35.84,9.65,1.12,Safe
W061,01/06/2025 09:39,38.38,1.31,87.31,62.74,37.46,85.7,85.2,37.69,0.59,-0.61,Critical
W050,01/06/2025 09:40,20.22,1.98,238.1,69.54,34.42,61.4,65.6,35.32,-6.4,-2.55,Warning
W087,01/06/2025 09:40,23.47,2.77,191.32,67.76,35.25,71.8,77.8,35.68,-7.71,-1.21,Warning
W073,01/06/2025 09:41,22.15,1.97,219.77,71.56,34.3,74.1,72.1,35.11,2.77,-2.31,Warning
W014,01/06/2025 09:41,24.57,1.19,80.63,61.54,37.58,102.6,70,36.54,46.57,2.85,Critical
W003,01/06/2025 09:42,24.88,9.81,90.67,56.52,34.81,69.6,68.9,35.47,1.02,-1.86,Critical
W080,01/06/2025 09:42,37.95,0.86,392.32,78.82,36.58,95.4,70.9,37.18,34.56,-1.61,Critical
W020,01/06/2025 09:43,23.8,2.67,478.49,78.74,36.06,87.6,82.1,36.32,6.7,-0.72,Critical
W073,01/06/2025 09:43,22.61,0.87,92.87,104.46,35.2,67.6,72.1,35.11,-6.24,0.26,Critical
W004,01/06/2025 09:44,24.36,1.39,94.22,77.39,37.74,59.7,66.5,37.6,-10.23,0.37,Safe
W024,01/06/2025 09:44,24.99,6.97,80.02,63.66,36.09,71.7,72.8,36.56,-1.51,-1.29,Warning
W051,01/06/2025 09:45,23.5,0.19,44.13,75.08,36.55,74.6,65.8,36.91,13.37,-0.98,Safe
W069,01/06/2025 09:45,20.51,1.29,84.88,74.26,37.28,93.7,78,37.11,20.13,0.46,Warning
W090,01/06/2025 09:46,23.45,12.19,108.2,74.14,35.2,93.2,88.4,35.41,5.43,-0.59,Critical
W048,01/06/2025 09:46,20.62,1.02,539.74,72.07,37.28,77.5,84.3,36.48,-8.07,2.19,Critical
W071,01/06/2025 09:47,24.48,0.93,105.59,87.87,36.54,88,89.1,35.76,-1.23,2.18,Critical
W002,01/06/2025 09:47,20.16,2.23,110.12,68.76,40.97,81.8,83.3,36.8,-1.8,11.33,Critical
W041,01/06/2025 09:48,20.62,1.95,50.5,76.1,35.82,124.5,86.6,36.87,43.76,-2.85,Critical
W017,01/06/2025 09:48,19.12,2.52,129.57,75.03,37.75,70.4,66.6,37.85,5.71,-0.26,Safe
W049,01/06/2025 09:49,22.57,0.65,81.78,84.14,37.11,84.8,78.1,36.28,8.58,2.29,Warning
W079,01/06/2025 09:49,20.66,1.24,31.55,69.49,37.68,121.3,81.8,37.28,48.29,1.07,Critical
W012,01/06/2025 09:50,26.39,5.47,41.16,63.95,36.07,67.7,72.3,36.1,-6.36,-0.08,Warning
W020,01/06/2025 09:50,24.83,2.11,96.75,56.02,36.03,71.1,82.1,36.32,-13.4,-0.8,Safe
W070,01/06/2025 09:51,22.6,2.42,99.83,78.43,40,68.8,74.1,37.92,-7.15,5.49,Warning
W001,01/06/2025 09:51,41.15,0.89,114.78,71.63,36.93,74.1,74.4,37.85,-0.4,-2.43,Critical
W032,01/06/2025 09:52,26.17,1.68,103.15,82.25,35.34,90.5,85.7,36.07,5.6,-2.02,Warning
W064,01/06/2025 09:52,24.61,0.06,107.32,50.87,38.62,90.9,85.5,37.58,6.32,2.77,Safe
W017,01/06/2025 09:53,22.53,1.77,103.71,100.28,37.5,64.3,66.6,37.85,-3.45,-0.92,Critical
W042,01/06/2025 09:53,20.64,0.85,346.43,75.43,34.95,70.9,73.3,35.19,-3.27,-0.68,Critical
W019,01/06/2025 09:54,22.76,8.73,91.85,71.83,35.77,77.3,72.6,35.29,6.47,1.36,Critical
W062,01/06/2025 09:54,27.28,2.38,44.99,66.23,34.76,78.8,73,35.33,7.95,-1.61,Warning
W010,01/06/2025 09:55,29.36,2.1,90.77,55.82,36.43,94.4,75.8,35.87,24.54,1.56,Warning
W046,01/06/2025 09:55,20.18,0.2,105.37,59.95,37.85,72.5,68,37.14,6.62,1.91,Safe
W067,01/06/2025 09:56,18.98,2.57,47.08,58.4,35.18,70.2,68,36.01,3.24,-2.3,Safe
W047,01/06/2025 09:56,22.52,1.18,57.68,56.94,36.23,82.3,84,36.68,-2.02,-1.23,Safe
W030,01/06/2025 09:57,24.78,0.89,107.99,80.79,36.73,70.1,66.1,35.98,6.05,2.08,Warning
W049,01/06/2025 09:57,41.57,2.24,90.47,61.54,36.86,82.4,78.1,36.28,5.51,1.6,Critical
